word,creole_word,creole name
ahead,devann,Haitian
aid,"n èd, sipò",Haitian
ail,soufri,Haitian
aim,n bi,Haitian
air,lè,Haitian
air conditioning,er kondisyone,Haitian
air port,aeropò,Haitian
ale,byè,Haitian
alert,"adj sou kiviv, eveye",Haitian
algebra,aljèb,Haitian
alien,n etranje,Haitian
alike,"tankou, menm, parèy",Haitian
aliment,manje,Haitian
alive,vivan,Haitian
all,tout,Haitian
all the others,tout lèzòt,Haitian
~at all,du tou,Haitian
allay,"soulaje, diminye",Haitian
allies,alèz,Haitian
allot,"repati, lote",Haitian
allow,"pèmèt, otorize",Haitian
allude,"pretann, sipoze",Haitian
allure,atire,Haitian
allusion,"alizyon, sipoziyon",Haitian
ally,alye,Haitian
almost,"prèske, prèt pou, (almost catch) manke,  kenbe",Haitian
alone,"sèl, pou kont-(pron.)",Haitian
along,ansanm,Haitian
aloof,"endiferan , lwen",Haitian
aloud,"aotvwa, byen fò",Haitian
already,deja,Haitian
also,"tou, ositou",Haitian
alter,"chanje, altere",Haitian
although,malgre,Haitian
amateur,amatè,Haitian
amazing,etonan,Haitian
ambassador,anbasadè,Haitian
amber,"oranj, abriko",Haitian
amend,korije,Haitian
amenity,"konfò, amenajman",Haitian
American,ameriken,Haitian
amiable,emab,Haitian
among,"pami, omilye",Haitian
amount,"montan, total",Haitian
ample,"ase, gran, laj , sifizan",Haitian
amuse,amize,Haitian
ancient,"ansyen, vye",Haitian
and,"ak, epi, e",Haitian
anew,"ankò, anouvo",Haitian
anger,n kòlè,Haitian
angle,"angl, aspè",Haitian
angry,fache,Haitian
animal,"animal , zannimo, bèt",Haitian
anniversary,"fèt, anivèsè",Haitian
announce,anonse,Haitian
annoy,"anniye, anmède",Haitian
annual,"anyèl, chak ane, lan",Haitian
another,"onlòt, youn lòt",Haitian
anthropology,antropoloji,Haitian
answer,n repons,Haitian
ant,foumi,Haitian
Antilles,Zantiy,Haitian
anxiety,"enkyetid, anksyete",Haitian
any,nepòt,Haitian
anywhere (at all),tou patou,Haitian
apart,"aleka, separe, detache",Haitian
apologize,eskize,Haitian
appall,"efarouche, terifye",Haitian
appalling,terifyan,Haitian
appeal,"n (legal) fè apèl, cham",Haitian
appear,"genlè, parèt, sanble",Haitian
append,"tache, kole, ajoute",Haitian
appendix,apendis,Haitian
apple,pòm,Haitian
application,aplikasyon,Haitian
appoint,"nonmen, dezinyen",Haitian
appointment,randevou,Haitian
appraise,"evalue, estime",Haitian
appreciate,apresye,Haitian
apprehend,"apreyande, arete",Haitian
apprenticeship program,pwogram aprantisaj,Haitian
approach,v aproche,Haitian
approve,aprouve,Haitian
approximate,adj aproksimatif,Haitian
apricot,abiko,Haitian
April,avril,Haitian
apt,"jis, aptopriye",Haitian
archbishop,monsenyè,Haitian
argue,"diskite, mentni",Haitian
arise,"pete, gaye, provni, plede",Haitian
arm,n bra,Haitian
armchair,"fotèy, dodin",Haitian
around,"alantou, otou, anviron",Haitian
arouse,"reveye, eksite",Haitian
arrange,"ranje, òganize",Haitian
array,etalaj,Haitian
arrest,arestasyon,Haitian
arrive,rive,Haitian
arrogant,arogan,Haitian
arrow,flèch,Haitian
art,"ar, la",Haitian
artful,"rize, koken",Haitian
article,atik,Haitian
artificial,artifisyèl,Haitian
artistic,atistik,Haitian
as,"tankou, otan, kom, menm ak",Haitian
as for,ala,Haitian
as long as,tank,Haitian
as soon as possible,le pli vit ke posib,Haitian
as that,kon sa,Haitian
ascend,monte,Haitian
ascertain,"tcheke, rann kont",Haitian
ashamed,ront,Haitian
ashtray,sandriye,Haitian
aside,"akote, sou kote",Haitian
ask,mande,Haitian
askew,krochi,Haitian
asleep,nan dòmi,Haitian
aspect,aspè,Haitian
asphalt,asfalt,Haitian
ass,"bourik(donkey), dèyè(rear),",Haitian
bounda(buttock,butt),Haitian
assail,"asayi, atake",Haitian
assembly,asanble,Haitian
assert,revandike,Haitian
assign,"deziyen, anchaje",Haitian
assist,"ede, segonde",Haitian
assistance,asistans,Haitian
associate,v . asosye,Haitian
assume,sipoze,Haitian
assure,asire,Haitian
asterick,asteris*,Haitian
astonish,"etone, siprann",Haitian
astound,"fè sote, pantan",Haitian
astute,rize,Haitian
asunder,kase ande,Haitian
asylum,azil,Haitian
at,a,Haitian
athwart,antravè,Haitian
atomic,atomik,Haitian
atrocious,atròs,Haitian
attach,"tache, kole",Haitian
attack,atake,Haitian
attain,"atenn, rive",Haitian
attainment,reyalizasyon,Haitian
attempt,"n esè, tantataif",Haitian
attention,n atansyon,Haitian
attest,ateste,Haitian
attitude,atitud,Haitian
attribute,n kalite,Haitian
audit,verifye,Haitian
audience,odiyans,Haitian
August,out,Haitian
aunt,"tant, matant",Haitian
auspicious,favorab,Haitian
austere,"distan, endiferan",Haitian
authentic Creole,Kreyòl natif natal,Haitian
author,"otè, lotè, ekriven",Haitian
authority,otorite,Haitian
authorization,otorizasyon,Haitian
automobile,oto,Haitian
autumn,lotòn,Haitian
available,disponib,Haitian
avaricious,"oeng, kripya, ava",Haitian
avenge,vanje,Haitian
avenue,avnu,Haitian
average,mwayèn,Haitian
avert,"evite, detounen",Haitian
avid,"avid, grangou",Haitian
avocado,zaboka,Haitian
avoid,evite,Haitian
avouch,avalide,Haitian
awake,adj reveye,Haitian
award,prim,Haitian
away,lwen,Haitian
awhile,on moman,Haitian
awkward,gòch,Haitian
axe,"rach , aks",Haitian
axis,aks,Haitian
azure,"ble,  A",Haitian
at ease,a lèz,Haitian
kneeling,a jenou,Haitian
on foot,a pye,Haitian
finally,"  a la fen (alè ki le, finalman) ",Haitian
extremely,a mò,Haitian
down with...!,aba,Haitian
jeans,abako,Haitian
"to abandon, abandoned",abandonnen (bandonnen),Haitian
to live,abite,Haitian
habit,abitid,Haitian
accustom to,abitwe,Haitian
to dress,abiye,Haitian
to abuse (take advantage),abize,Haitian
absent,absan,Haitian
aboard,abò,Haitian
to approach,abòde,Haitian
"subscription, standing order",abònman,Haitian
"done in, drained (tired)",about,Haitian
to arrive,abouti,Haitian
type of fruit,abriko (zabriko),Haitian
abscess,abse,Haitian
absinte,absent,Haitian
purchase,acha,Haitian
architect,achitek,Haitian
archive,achiv,Haitian
to buy,achte,Haitian
buyer,achtè,Haitian
"to fawn, to curry favor",achtè figi (achte deye),Haitian
adhesive tape,adezif,Haitian
adultery,adiltè,Haitian
"to petition, to appeal to",adrese,Haitian
right (direction),adwat,Haitian
slate,adwaz,Haitian
business,afe,Haitian
affection,afeksyon,Haitian
depressed,afese,Haitian
poster,afich,Haitian
to post,afiche,Haitian
because of (as a result of),afòs,Haitian
gluttonous,afre,Haitian
gluttony,afreman,Haitian
pleasent,agreyab,Haitian
silver,ajan,Haitian
agency,ajans,Haitian
silverware,ajantri,Haitian
knell,ajenou,Haitian
adjust,ajiste,Haitian
with,ak,Haitian
drive-in,ak machin,Haitian
action,aksyon,Haitian
go to bed,al dòmi,Haitian
scare,alame (fè pè),Haitian
expect,alatant,Haitian
vice versa,ale pou vini,Haitian
there and back,ale-retou,Haitian
go,ale,Haitian
lure,aleche (fè lasisiy),Haitian
"apart, seperate",separe,Haitian
presently,alèkile (kounye-a),Haitian
relief,alemye,Haitian
breath,alèn (souf),Haitian
"east, east-end, in the east, east-side",alès,Haitian
alphabet,alfabè,Haitian
hawk,alfini,Haitian
power,alimante,Haitian
match,alimèt (match),Haitian
range,aliyen (klase),Haitian
 German,alman,Haitian
then ,alò (atò) ,Haitian
 so," alò (sitèlman, otan) ",Haitian
"west, west-end, west side, in the west",alwès,Haitian
compound,alyaj,Haitian
merge,amalgame,Haitian
casing,aman,Haitian
fine,amann,Haitian
army,ame,Haitian
improvement,amelyorasyon,Haitian
improve,amelyore,Haitian
reduce,amensi,Haitian
Latin America,Amerik Latin,Haitian
 fun,amizan,Haitian
fun,amizman (plezi),Haitian
deaden,amòti (mouri),Haitian
love,amou,Haitian
in,an,Haitian
in order,an règ,Haitian
let's go,an alè,Haitian
at the same time,an menm tan,Haitian
in general,an jeneral,Haitian
in France,an Frans,Haitian
illiterate,analfabèt,Haitian
pineapple,anana (zannanna),Haitian
bottom,anba (bounda),Haitian
down there,anba-a,Haitian
below,anba,Haitian
illicit,anbachal,Haitian
board,anbake,Haitian
bale,anbale,Haitian
perplex,anbarase,Haitian
embassy,anbasad,Haitian
underground,anbatè,Haitian
stomach,anbativant (lestomak),Haitian
bother,"  anbete (traka, nwi) ",Haitian
tease,anbete,Haitian
ravel,anbouye,Haitian
embrace,anbrase (kwoke),Haitian
rapt,anchante (antouzyas),Haitian
inside,andedan,Haitian
external,andeyò,Haitian
handicap,andikap,Haitian
disable,andikape (enfim),Haitian
endurance,andirans,Haitian
anesthetize,andòmi (anestezi),Haitian
sedate,andòmi,Haitian
jam,andouteyaj,Haitian
place n,andwa,Haitian
year,ane (lane),Haitian
anesthesia,anestezi,Haitian
behalf,anfavè,Haitian
emphasis,anfaz,Haitian
swell,anfle,Haitian
 fine,anfòm (fen),Haitian
engage,angaje (foure),Haitian
involvement,angajman,Haitian
English,angle,Haitian
cancel,anile,Haitian
host,animatè (mètkay),Haitian
brisk,anime,Haitian
birthday,anivèsè,Haitian
pleasant,anizan,Haitian
quart,"  anka (ka galon, ka) ",Haitian
frame,ankadreman,Haitian
none,ankal,Haitian
numb,ankiloze (dòmi),Haitian
include,ankli,Haitian
yet,anko (toujou),Haitian
crowd,ankonbre,Haitian
cheer,ankouraje (aplodi),Haitian
urge,ankouraje (rekòmande),Haitian
encourage,ankouraje,Haitian
up,"  anlè (anro, soutèt) ",Haitian
over,anlè,Haitian
bitter,anmè,Haitian
pay,anmèdan,Haitian
peeve,anmède,Haitian
let's,ann (annou),Haitian
a bunch,ann,Haitian
early,annavans,Haitian
just (in time),annik,Haitian
bore,anniye,Haitian
golden,annò,Haitian
pack,anpakte (anbale),Haitian
impeach,"anpeche, revoke",Haitian
deter,anpeche,Haitian
 fancy,anpenpan,Haitian
"very (much),","  anpil (trè, bien) ",Haitian
 many,anpil (plizye),Haitian
most,anpil (plis),Haitian
(a) lot,anpil,Haitian
in place,anplas,Haitian
moreover,anplis,Haitian
employ,anplwaye,Haitian
pocket v,anpoche,Haitian
loan,anpren (v. prete),Haitian
haste,anpresman,Haitian
zeal,anprèsman,Haitian
jail (to put in jail),anprizone,Haitian
imprisonment,anprizonnman,Haitian
poison,anpwazonnen,Haitian
late,anreta (adv. ta),Haitian
overdue,anreta,Haitian
enrich,anrichi,Haitian
enroll,anrole (rekrite),Haitian
draft,anrole,Haitian
healthy,ansante,Haitian
cancer,ansè,Haitian
circular,ansèk,Haitian
 secure,ansekirite,Haitian
pregnant,ansent (gròs),Haitian
expecting,ansent (gwòs),Haitian
teach,anseye,Haitian
assignment,ansèyman,Haitian
desire,ansi (vle),Haitian
uneven,ansibreka,Haitian
bewitch,ansòsele,Haitian
former,ansyen,Haitian
between,"  ant (nan mitan, omilye) ",Haitian
burial,antèman,Haitian
bury,antere,Haitian
caption,antèt (lejand),Haitian
determined,antete,Haitian
environment,antouraj,Haitian
encircle,antoure,Haitian
entrance,antre (pòt),Haitian
come in,antre,Haitian
zest,antren,Haitian
enterprise,antrepriz,Haitian
entire,antye (tout),Haitian
before,anvan,Haitian
flood,anvayi,Haitian
quite,anverite (tou),Haitian
crave,anvi,Haitian
envelope,anvlòp,Haitian
envious,anvye,Haitian
nothing,anyen,Haitian
be on one's way,ap rive,Haitian
 separate,apa (separe),Haitian
pace,apante,Haitian
mere,apèn,Haitian
high,apik,Haitian
lean,apiye,Haitian
clap,aplodi (bat bravo),Haitian
learn,aprann,Haitian
the day after tomorrow,aprè demen,Haitian
 approximate,aproksimatif,Haitian
cater,aprovizyone,Haitian
ripe,apwen,Haitian
careful,apwofondi,Haitian
herring,aran,Haitian
book,arete,Haitian
barren,arid (steril),Haitian
infertile,arid,Haitian
round,arondi,Haitian
baste,aroze,Haitian
idle,aryenafè,Haitian
killer,asasen,Haitian
enough,ase (kont),Haitian
 enough,ase,Haitian
relish,asezonman,Haitian
confident,asire (gen konfyans),Haitian
help,asistans (v. ede),Haitian
association,asosyasyon,Haitian
evening,"  aswè (sware, swa) ",Haitian
tonight,aswè,Haitian
steel,asye,Haitian
besiege,asyeje,Haitian
dish,asyèt (plat),Haitian
batter,at pou fri,Haitian
brace,atach,Haitian
bow,"  atak (peryòd, kriz) ",Haitian
raid,atak (razya),Haitian
reach,"  atenn (rive, jwenn) ",Haitian
land,atèri,Haitian
witness,ateste (wè),Haitian
boat,atifisyèl,Haitian
mood,atitid,Haitian
atmosphere,atmosfè,Haitian
then,atò,Haitian
desperate,atoufè,Haitian
grasp,atrab,Haitian
riot,atroupman,Haitian
vagabond,avadra,Haitian
dawn,avanjou,Haitian
promote,avanse (monte grad),Haitian
forward,avanse,Haitian
"blind, to blind",avèg (je pete),Haitian
 blind,avèg,Haitian
dazzle,avegle (pete) je,Haitian
warning,avètisman,Haitian
notice,avi (notis),Haitian
debase,avili,Haitian
future,avni (lavni),Haitian
esquire,avoka,Haitian
oat,avwan,Haitian
plane (airplane),avyon,Haitian
irrigate,awoze,Haitian
tailor,ayè,Haitian
Haiti,Ayiti (Peyi Dayiti),Haitian
Souteast Asia,Azi di Disès,Haitian
East Asia,Azi de Lès,Haitian
low,ba,Haitian
ring,bag,Haitian
item,bagay,Haitian
scale,balans,Haitian
broom,bale,Haitian
vaccum cleaner,bale elektrik,Haitian
ball,balon,Haitian
bartender,bamann,Haitian
bank,bank,Haitian
gate,baryè,Haitian
beat,bat,Haitian
give,bay,Haitian
base,baz,Haitian
beef,bèf,Haitian
nice,bèl,Haitian
mother-in-law,bèlmè,Haitian
bauty,bèlte,Haitian
benefit,benefis,Haitian
eggplant,berejèn,Haitian
seafood,bètlanmè,Haitian
beet,bètrav,Haitian
need,bezwen,Haitian
purpose,bi,Haitian
library,bibliotèk,Haitian
jewelry,bijou,Haitian
building,bilding,Haitian
bicycle,bisiklèt,Haitian
registrar's office,biwo enskripsyon,Haitian
office,biwo,Haitian
balloon,blad,Haitian
joke,blag,Haitian
white,blan,Haitian
blue,ble,Haitian
"wound, cut",blese,Haitian
kiss,bo,Haitian
son-in-law,bofis,Haitian
stepbrother,bòfrè,Haitian
jar,kokal,Haitian
bucket,bokit,Haitian
bowl,bòl,Haitian
maid,bòn,Haitian
tasty,bon gou,Haitian
goodwill,bon volonte,Haitian
God,Bondye,Haitian
dull,bone,Haitian
pots and pans,bonm ak chodyè,Haitian
kettle,bonm,Haitian
cheap,bonmache,Haitian
father-in-law,bòpè,Haitian
employer,bòs,Haitian
locksmith,bòs seri,Haitian
boots,bòt,Haitian
mouth,bouth,Haitian
butcher,bouche,Haitian
"baker, bakery",boulanje,Haitian
burn,boule,Haitian
bullet,boulèt,Haitian
bolt,boulon,Haitian
boulevard,boulva,Haitian
purse,bous,Haitian
bottle,boutèy,Haitian
store,boutik,Haitian
newsstand,boutik jounal,Haitian
cufflinks,bouton pwayè,Haitian
fog,bouya,Haitian
boiling,bouyi,Haitian
branch,branch,Haitian
bracelet,braslè,Haitian
brave,brav,Haitian
flashy,briyan,Haitian
shine,briye,Haitian
wood,bwa,Haitian
drink,bwason,Haitian
box,bwat,Haitian
noise,bwi,Haitian
pin,bwòch,Haitian
brush,bròs,Haitian
well,byen,Haitian
C ~ Kreyol pronunciation ( se,"ce ),  ( as in ce in cell )",Haitian
cab,taksi,Haitian
cabbage,chou,Haitian
cabin,kabin,Haitian
cable,"kab, telegram",Haitian
cache,kachèt,Haitian
cadence,kadans,Haitian
cafe,"kafe, bwat",Haitian
cage,kalòj,Haitian
cake,gato,Haitian
calamity,kalamite,Haitian
calculate,kalkile,Haitian
calf,ti bèf,Haitian
California,Kalifòni,Haitian
call,v rele,Haitian
call 555-5555,rele nan 555- 5555,Haitian
callous,"di, rèd, san pitye",Haitian
calm,kalm,Haitian
camel,chamo,Haitian
camera,"kamera, kodak",Haitian
camp,n kanpman,Haitian
campaign,kanpagn,Haitian
can,n kanistè,Haitian
candid,fran,Haitian
candidate,kandida,Haitian
candle,chandèl,Haitian
candy,"sirèt, bonbon",Haitian
cane,kann,Haitian
canteen,kantin,Haitian
canvas,n twal,Haitian
cap,berè,Haitian
capable,konpetan,Haitian
capacity,kapacite,Haitian
capital,kapital,Haitian
captious,"acheval, manyak",Haitian
captivate,kaptive,Haitian
captive,kaptif,Haitian
capture,"v kaptire, bare",Haitian
car,"oto, machin, vwati",Haitian
carcass,kakas,Haitian
card,"kat, kat jwe",Haitian
cardigan,vès,Haitian
cardinal,kadinal,Haitian
care,n swen,Haitian
career,karyè,Haitian
be careful,pinga,Haitian
caress,n karès,Haitian
carpet,tapi,Haitian
carriage,"charyo, kabwèt",Haitian
carrot,karòt,Haitian
carry,pote,Haitian
cartoon,"komik, desen anime",Haitian
carve,"sizle, skilte",Haitian
case,"ka, kès, bwat",Haitian
cash,"n lajan, kach",Haitian
casino,kazino,Haitian
cast,n ròl,Haitian
castigate,"v reprimande, chatye, joure",Haitian
castle,n chato,Haitian
casual,"aksidantèl, dezenvòlt",Haitian
cat,chat,Haitian
catch,"v pran, bare, trape",Haitian
cattle,betay,Haitian
cauldron,chodyè,Haitian
cause,"kòz, lakòz, rezon",Haitian
caution,prekosyon,Haitian
cave,"kav, gròt",Haitian
caviar,"kavya, ze",Haitian
cavity,"trou, fant",Haitian
cease,"sispann, rete, stòp",Haitian
cede,"sede, bay legen",Haitian
ceiling,plafon,Haitian
celebrate,selebre,Haitian
cellar,kav,Haitian
cemetery,simityè,Haitian
cent,kòbi,Haitian
center,v trote,Haitian
central,santral,Haitian
century,syèk,Haitian
cereal,sereyal,Haitian
certain,"sèten, siswafè, si",Haitian
certainly,sètènman,Haitian
certify,sètifye,Haitian
chafe,"v frote, friksyonen, irite",Haitian
chaff,"n bal, pake pay caffer",Haitian
chagrin,"n kontraryete, chagren",Haitian
chain,n chenn,Haitian
chained,mare,Haitian
chair,chèz,Haitian
chairman,"presidan, direkte",Haitian
chalk,lakre,Haitian
chamber,chanm,Haitian
champ,chanpyon,Haitian
chance,chans,Haitian
chancel,v titile,Haitian
chandelier,chandelye,Haitian
change,n monnen,Haitian
chant,"n chante, refren",Haitian
chap,n kaskèt,Haitian
chap (young man),jenn gason,Haitian
chapter,chapit,Haitian
characteristic,karakteristik,Haitian
characterization,karakterizasyon,Haitian
characterize,karakterize,Haitian
charcoal,chabon,Haitian
charge,n chaj,Haitian
charity,"charite, zèv",Haitian
Charles,Chal,Haitian
charm,"cham, bèlte",Haitian
chary,"v ezitan, pridan",Haitian
chase,"v kouri dèyè, chase",Haitian
chaste,adj tifi,Haitian
chat,v koze,Haitian
cheat,"v vole, tronpe",Haitian
check,v verifye,Haitian
checker,chekè,Haitian
cheek,"figi, po figi, jou",Haitian
cheese,fromaj,Haitian
chemistry,chimi,Haitian
cherish,pran swen,Haitian
cherry,seriz,Haitian
chess,echèk,Haitian
chest,n pwatrin,Haitian
chew,"v moulen, mache, kraze",Haitian
chew gum,v. manje chiklet,Haitian
chicken,poul,Haitian
chief,chèf,Haitian
child,"pitit, timoun",Haitian
chill,v rafredi,Haitian
chimney,chemine,Haitian
chin,manton,Haitian
china (porcelain),pòslèn chink,Haitian
chocolate,chokola,Haitian
choice,"chwa, preferans",Haitian
choke,n toufe,Haitian
choose,chwazi,Haitian
chop,"v tranche, koupe",Haitian
Christmas,Nwèl,Haitian
chuck,v flanke deyò,Haitian
chuckle,ri anbachal,Haitian
chum,"zanmi, patnè",Haitian
chump,v blòk,Haitian
church,legliz,Haitian
cigarette,sigarèt,Haitian
cinder,sann,Haitian
cinema,sinema,Haitian
circle,sèk,Haitian
circumstance,sikonstans,Haitian
circus,sirk,Haitian
citadel,sitadèl,Haitian
citizen,sitwayen,Haitian
city,"vil, lavil",Haitian
city hall,lakomun,Haitian
civic,sivik,Haitian
civil,sivil,Haitian
claim,n reklamasyon,Haitian
clammy,mwat,Haitian
clamp,n kranpon,Haitian
clang,"v sonnen, rezone",Haitian
clarify,"v eklèsi, klarifye",Haitian
clasp,n agraf,Haitian
class,klas,Haitian
classic,klasik,Haitian
clause,n propozisyon,Haitian
claw,n grif,Haitian
clay,"tè glèz, ajil",Haitian
clean,adj pròp clean,Haitian
clear,"adj klè, transparan, nèt",Haitian
cleave,fann,Haitian
clement,gen pitye,Haitian
clench,"v mare, sere, ponyen",Haitian
clergyman,klèje,Haitian
clerk,komi,Haitian
clever,entelijan,Haitian
cliff,falèz,Haitian
climb,granpe,Haitian
cloak,n mask,Haitian
clock,"revèy, lòlàj",Haitian
clod,bit tè,Haitian
close,v fèmen close,Haitian
cloth,twal,Haitian
clothes,rad,Haitian
cloud,"nuaj, nyaj",Haitian
clump,n touf,Haitian
clumsy,"adj gòch, maladwa",Haitian
cluster,grap,Haitian
coarse,koryas,Haitian
coast,n rivaj,Haitian
coat,n manto,Haitian
coax,v kajole,Haitian
cobweb,fil arenyen,Haitian
cock,n kòk,Haitian
cockpit,gagè,Haitian
coddle,v dòlote,Haitian
coefficient,koefisyan,Haitian
coerce,kontrenn,Haitian
coffee,kafe,Haitian
coffin,sèjèy,Haitian
cognac,konyak,Haitian
cohabit,v koabite,Haitian
coincidence,konyensidans,Haitian
Coka-cola,koka kola,Haitian
cold,n fredi,Haitian
collaborate,"v kolabore, soutni",Haitian
collar,"kòl, chenn",Haitian
collect,"rasanble, kolekte",Haitian
college,kolèj,Haitian
colloquial,familye,Haitian
colon,"kolon, depwen",Haitian
colonel,kolonèl,Haitian
colonial,kolonyal,Haitian
color,n koulè,Haitian
column,"n kolòn, pilye",Haitian
comb,peny,Haitian
come,vini,Haitian
comfort,n konfò,Haitian
comfrot,v rekonfòte,Haitian
comfortable,konfòtab,Haitian
command,n kòmann,Haitian
commarade,kanmarad,Haitian
commence,kòmanse,Haitian
commend,n lòd,Haitian
commerce,"komès, negòs",Haitian
commision,komisyon,Haitian
commit,v komèt,Haitian
common,komen,Haitian
communal,kominal,Haitian
communicate,v kominike,Haitian
communication,kominikasyon,Haitian
communion,komunyon,Haitian
community,kominate,Haitian
company,konpanyi,Haitian
compare,konpare,Haitian
comparison,konparezon,Haitian
competency test,egzamen konpetans,Haitian
competition,"konkou, konpetisyon",Haitian
complain,plenyen,Haitian
complete,v konplete,Haitian
complicate,konplike,Haitian
compose,v konpoze,Haitian
comprehend,konprann,Haitian
comrade,konmarad,Haitian
conceal,kache,Haitian
concentrate,konsantre,Haitian
concentration,konsantrasyon,Haitian
concept,konsèp,Haitian
conch,"Lambi ( conch shell - Mussel ),  Conch: any of various large spiral-shelled marine ,  gastropod mollusks (as of the genus Strombus),  Native to the Caribbean,( Haitian Foods )",Haitian
concise,"brèf, kout",Haitian
conclude,konkli,Haitian
concrete,n siman,Haitian
condemn,kondane,Haitian
condition,n kondisyon,Haitian
conditioned,kondisyone,Haitian
condone,favorize,Haitian
conduct,v kondui,Haitian
confetionery,n sirèt,Haitian
confess,v konfese,Haitian
confirm,konfime,Haitian
conform,v konfòme,Haitian
confused,"adj egare, gaga, mele",Haitian
confusion,konfizyon,Haitian
congest,"v bloke, konjeste, bouche",Haitian
congratulate,fè konpliman,Haitian
congregate,"reyini, rasanble",Haitian
conjecture,n konjekti,Haitian
conjoin,n konjwen,Haitian
connect,konekte,Haitian
conquer,konkeri,Haitian
conscience,konsyans,Haitian
conscious,adj gen konesans,Haitian
consent,konsanti,Haitian
consider,konsidere,Haitian
consolate,konsila,Haitian
console,v konsole,Haitian
consolidate,konsolide,Haitian
constant,n konstant,Haitian
constitute,v konstitye,Haitian
constitution,konstitisyon,Haitian
constitutional,konstitisyonèl,Haitian
constain,"v rennen, frennen, kontrenn",Haitian
construct,v konstrui,Haitian
construction,konstwiksyon,Haitian
consult,"v konsilte, mande konsèy",Haitian
contaminate,kontamine,Haitian
contempt,mepri,Haitian
contend,"v deklare, soutni, kenbe",Haitian
content,adj sanisfè,Haitian
contest,"n konpetisyon, konkou",Haitian
continue,kontinye,Haitian
contort,kontòsyone,Haitian
contract,kontra,Haitian
contradict,kontredi,Haitian
contrary,"kontrè, opoze",Haitian
contravene,"kontredi, kontrekare",Haitian
contribute,kontribye,Haitian
convene,"konvoke, reyini",Haitian
convenient,pratik,Haitian
convention,konvansyon,Haitian
conversation,"konvèsasyon, koze",Haitian
